Отчет;;;;;;;;;;;;;;;;;
c 18.07.2021 по 25.07.2023;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
#;Дата;id;utm_1;utm_2;utm_3;Имя;Фамилия;Дата рождения;Пол;Где опубликована запись (укажи название источника)? ;Укажи ссылку на пост в источнике;Тип публикации;Дата публикации;Сколько прочтений/просмотров собрала публикация через 7 дней после размещения?;Сколько лайков собрала публикация через 7 дней после размещения?;Сколько репостов собрала публикация через 7 дней после размещения?;Сколько комментариев собрала публикация через 7 дней после размещения?
;;;;;;;;;Ж;Инстаграм;https://www.instagram.com/p/CsMdvywIEh9/?igshid=MzRlODBiNWFlZA==;Пост;13.05.2023;1к;282;1;13
;;;;;;;;;Ж;ВКонтакте;Всё об амбассадорской программе VK;Пост;17.05.2023;1,6к;22;4;0
;;;;;;;;;Ж;https://vk.com/annieremich;https://vk.com/annieremich?w=wall-25330603_24293;подкаст интервью;16.05.2023;16596;116;24;11
;;;;;;;;;M;Личная страница ВКонтакте;https://vk.com/ilkatkov?w=wall142446929_4572;Пост;18.05.2023;1400;121;4;29
;;;;;;;;;Ж;личная страница в FB;https://www.facebook.com/1810064782/posts/pfbid037DKyBN7FCDTXUcJDcgofEGmmRvKu66TP8VqnaFB2qJUYte1yNiqktPVbz1b8prTTl/?mibextid=r5uJeJ;Пост;13.05.2023;-;30;-;-
;;;;;;;;;Ж;личная страница в VK;https://vk.com/irapospelova?w=wall1595779_6422;Пост;18.04.2023;3100;50;15;-
;;;;;;;;;Ж;VK;https://vk.com/wall1595779_6423;Пост;13.05.2023;2600;255;5;-
;;;;;;;;;M;"Телеграм канал: ""МОУ «Гимназия 4» г. о. Электросталь""";https://t.me/gimnaziya4el/3513;Пост;01.05.2023;326;3;?;-
;;;;;;;;;M;личная страница;https://vk.com/azhizhkov?w=wall494487661_495%2Fall;Пост;18.04.2023;332;7;3;0
;;;;;;;;;M;личная страница;https://vk.com/azhizhkov?w=wall494487661_491%2Fall;Пост;15.04.2023;216;5;4;0
